Date,Transect,Tape_m,Boundary,Original_quadrat,LAT,LON,Unique_quadrat,Community,Relative_elev,FS-BS,True_elev_m,Ground,Stems,Wrack,Thatch,LWD,Notes,SALA2,EQFL,EQAR,TYLA,PHAR3,IMCA,CALY3,SALUL,SASC,METR3,POPA23,LAPA4,LYSA2,AGST2,TRWO,JUAC,ELPA3,MEAQ,LYTH2,RUOC3,SCTA2,SYSU4,JUAR,MEAR4,CAPAP6,BICE,SIHE4,IRPS,GATR2,JUEF,SCMI2,HYSC5,FEAR3,GAPA3,JUOX,MYSC,SYFO,HOBR2,RUCO2,PLDID,MYGA,CIAR4,Lycopus_sp
21-Jun,V,117.5,quadrat,V11,49.10451944,-123.0875389,11,CALY-METR,1.555,,,0.6,0.4,0,0,0,,,,,,,,0.25,0.01,,0.5,0.02,0.02,0.06,0.25,,,,,0.06,,,0.02,,,,0.06,,,0.02,,,,,,,,,,,,,,0.02
21-Jun,V,132,quadrat,V12,49.10459444,-123.0876194,12,EQAR,1.502,,,0.55,0.45,0,0,0,,,0.5,,,,,,0.38,,,,,0.06,,,,,,0.01,0.01,,,,,0.06,,0.06,0.01,,0.06,,,,,,,,,,,,,0.01
21-Jun,V,140,quadrat,V13,49.10464167,-123.087675,13,Undefined,1.454,,,0.5,0.5,0,0,0,,,,0.06,0.01,,,0.19,0.31,,,0.13,,,,,,0.33,,,,,,,,0.01,,0.02,,,,0.06,,,,,,,,,,,,
21-Jun,V,155.3,quadrat,V14,49.1047,-123.0877361,14,Woody-CALY,1.368,,,0.1,0.45,0.45,0,0,,,,0.02,,,0.25,0.25,,,,0.33,0.5,,0.1,,,,,0.01,,,,,,,,0.06,,,,0.02,0.25,,,,,,,,,,,0.33
21-Jun,V,165.6,quadrat,V15,49.10476944,-123.0878111,15,Woody-CALY,1.35,,,0.65,0.35,0,0,0,,,,0.25,,,0.13,0.5,,,,0.06,0.01,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,1.3,quadrat,W1,49.10894167,-123.0831167,16,CALY,2.06,,,0.4,0.6,0,0,0,,,,,,,,0.5,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,3.4,quadrat,W2,49.10924167,-123.0837694,17,FEAR-RCG,1.319,,,0.05,0.2,0.75,0,0,,,,,,,0.19,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,
27-Jun,W,14.3,quadrat,W3,49.10929167,-123.083875,18,CALY,1.404,,,0.6,0.4,0.7,0,0,,,,,0.03,,0.5,0.5,,,,,0.19,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,26.3,quadrat,W4,49.10935556,-123.0840167,19,Undefined,1.509,,,0.6,0.4,0.1,0,0,,,,,0.02,,0.02,0.25,,,0.06,0.02,0.02,,0.33,,,,0.5,,,,,,,,,,,,,,,,0.02,,,,,,,,,
27-Jun,W,36.75,quadrat,W5,49.10946111,-123.0842472,20,METR-MEAQ,1.535,,,0.3,0.7,0,0,0,,,,0.01,,,,0.02,0.01,,0.4,0.06,0.02,,0.13,,,,0.5,0.09,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,
27-Jun,W,50.1,quadrat,W6,49.10956111,-123.0845,21,Woody,1.541,,,0.3,0.7,0,0,0,,,,0.02,,,,0.03,0.03,,0.33,0.03,0.02,,0.01,,,,0.75,0.02,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,
27-Jun,W,59.4,quadrat,W7,49.10961389,-123.0846194,22,METR,1.542,,,0.3,0.7,0,0,0,,,,0.03,,,,0.02,,,0.75,0.06,,0.06,0.01,,,,0.33,0.01,,,,0.02,,,,,,,,,,,,0.06,,,,,,,,
27-Jun,W,69,quadrat,W8,49.10963333,-123.0846889,23,CALY-METR,1.538,,,0.6,0.4,0,0,0,,,,,,,,0.25,,,0.6,0.06,0.02,0.01,0.33,0.02,,,0.25,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,81.5,quadrat,W9,49.10968889,-123.0848389,24,CALY-METR,1.522,,,0.65,0.35,0,0,0,,,,,,,,0.33,,,0.5,0.03,,,0.19,,,,0.5,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,
27-Jun,W,102,quadrat,W10,49.10895,-123.0831417,25,METR-ELPA,1.54,,,0.25,0.75,0,0,0,,,,0.01,,,,,0.13,,0.75,,,0.06,0.03,0.05,,0.13,0.5,0.02,0.01,,,0.19,,,,,,,,,,,,,0.02,,,,,,,
27-Jun,W,123.5,quadrat,W11,49.10900833,-123.0832639,26,CALY-METR,1.523,,,0.6,0.4,0,0,0,,,,0.02,,,,0.25,,,0.5,0.02,,0.06,0.19,,,0.06,0.33,,,,,0.25,,,,,,0.02,,,,,,,0.02,,,,,,,
27-Jun,W,134,quadrat,W12,49.10906944,-123.0833972,27,CALY,1.45,,,0.35,0.6,0.05,0,0,,,,0.06,,0.02,0.19,0.5,,,0.69,,,0.01,0.33,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,
27-Jun,W,139.5,quadrat,W13,49.10911667,-123.0835222,28,Debris,1.409,,,0.01,0.23,0.5,0,0.5,,,,0.06,0.02,0.13,,,,,0.13,,,0.13,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
27-Jun,W,152,quadrat,W14,49.10919167,-123.0836639,29,Woody,N/A,,,0,0.1,0.8,0,0.188,elev not recorded Jun 27; used elev from permanent stakes & data from May,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,
28-Jun,X,4.5,quadrat,X1,49.10886667,-123.0830722,30,FEAR,1.335,,,0.001,0.375,0,0.625,0,,,,0.03,,,0.06,,,,,,0.05,,0.25,,,,,,,,,,,,,,,,,,,0.5,,,,,0.05,,,,,
28-Jun,X,15,quadrat,X2,49.10817222,-123.0824472,31,Typha,1.502,,,0.05,0.25,0.7,0,0,,,,0.03,0.06,,0.03,,,,,,0.02,0.03,0.06,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,
28-Jun,X,25.5,quadrat,X3,49.10801667,-123.0822806,32,Rushes,1.547,,,0.2,0.4,0.34,0,0.06,,,0.5,,,,0.05,0.02,,,,,0.02,0.06,,,,,,,0.01,0.06,,,,,,,0.01,,,,,0.09,,,,,0.09,,,,,
28-Jun,X,38,quadrat,X4,49.107925,-123.0821694,33,Undefined,1.614,,,0.4,0.6,0,0,0,,,,0.01,0.01,,0.03,0.02,0.06,,0.5,0.06,,0.06,0.19,,,0.02,,,0.02,,,,,0.03,,,,0.02,,,,,,,,,,0.02,,,,
28-Jun,X,49.5,quadrat,X5,49.10784722,-123.0820861,34,Rushes,1.542,,,0.7,0.3,0,0,0,,,,,,,0.03,,0.13,,0.67,0.13,,0.13,0.13,,,0.25,0.02,,,,0.02,,,,,0.02,,,,,,,,,,0.06,,,0.02,,,
28-Jun,X,63,quadrat,X6,49.10779167,-123.082,35,METR-MEAQ,1.558,,,0.2,0.65,0.15,0,0,,,,0.02,,,0.09,,0.06,,0.67,0.13,0.06,0.13,0.4,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,73,quadrat,X7,49.10771111,-123.0819083,36,METR-MEAQ,1.565,,,0.5,0.5,0,0,0,,,,,0.05,,,0.03,,,0.75,0.09,0.05,0.19,0.09,,,,0.67,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,
28-Jun,X,83,quadrat,X8,49.10762778,-123.0818028,37,METR-MEAQ,1.581,,,0.6,0.3,0.1,0,0,,,,,,,,,0.13,,0.75,0.13,0.06,0.03,,,,,0.5,,0.02,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,93,quadrat,X9,49.10755556,-123.0817083,38,METR-MEAQ,1.565,,,0.6,0.4,0,0,0,,,,0.02,0.01,,0.01,,,,0.67,0.33,,0.03,0.06,,,,0.33,,,,,,,,,,0.02,0.01,,,,,,,0.01,,,,,,,
28-Jun,X,114.25,quadrat,X10,49.10878611,-123.0829917,39,Woody,N/A,,,0.6,0.4,0,0,0,didn't get elev for X10 :(,,,0.01,0.03,,,0.06,0.06,,0.33,0.06,,0.09,0.09,,,,0.5,0.02,,0.03,,,,,,,0.02,0.01,,,,,,,0.03,,,,,,,
28-Jun,X,127.25,quadrat,X11,49.10870278,-123.0829194,40,Undefined,1.644,,,0.75,0.23,0.02,0,0,,,,,0.02,,0.05,,0.13,,,0.06,,,0.09,,,,0.25,,,,,,,,,,0.13,,,,,,,,,,,,,,,
28-Jun,X,137,quadrat,X12,49.10861111,-123.0828222,41,CALY,1.588,,,0.25,0.35,0.5,0,0,,,,,0.02,,0.09,0.5,,,,,0.05,0.13,0.03,,,,,0.01,0.02,,,,,,,,0.06,,,,,,,,,,,,,,,
28-Jun,X,146.3,quadrat,X13,49.10851944,-123.0827472,42,CALY-METR,1.599,,,0.5,0.5,0,0,0,,,,0.01,,,,0.33,,,0.67,0.33,0.06,0.02,0.5,,,0.01,,,,,,,,,,,0.03,0.01,,,,,,,,0.02,,,,,,
28-Jun,X,157.5,quadrat,X14,49.10841111,-123.0826639,43,RCG,1.488,,,0.15,0.05,0,0.8,0,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,
28-Jun,X,169.5,quadrat,X15,49.10833333,-123.0825944,44,Woody,1.39,,,0,0.2,0,0.8,0,FS; turning pt,,,,,0.25,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,
28-Jun,X,179.75,quadrat,X16,49.10825833,-123.082525,45,Undefined,1.844,,,0.2,0.4,0,0.4,0,,,,0.02,0.06,,0.5,0.13,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,U,1.5,quadrat,U1,49.10215278,-123.0900972,46,FEAR,1.535,,,0.05,0.35,0.4,0,0.2,,,,,0.06,,0.06,0.09,,,,0.13,0.02,0.05,0.06,,,,,,,,,,0.06,,,0.05,0.03,,,,,0.13,,,,,,,,,,
2-Jul,U,6,quadrat,U2,49.10215278,-123.0901528,47,RCG,1.546,,,0.4,0.3,0.3,0,0,,,,,0.02,0.8,0.02,,,0.03,,,0.03,0.03,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,
2-Jul,U,12,quadrat,U3,49.10216111,-123.0902417,48,Woody,1.557,,,0.3,0.3,0.4,0,0,,,,0.01,0.02,,0.19,0.13,,0.19,0.31,0.13,0.05,,0.05,,,,,,,,0.03,,0.03,,,0.03,,,,,,,,,,,,,,,,
2-Jul,U,27.2,quadrat,U4,49.10217222,-123.0904472,49,CALY-METR,1.578,,,0.1,0.5,0.4,0,0,,,,,0.02,,0.09,0.5,,,0.25,0.06,0.19,,0.25,,,,,,,,0.06,,0.03,,,,,,,,,,,,,,,,,,,
2-Jul,U,42.3,quadrat,U5,49.10218333,-123.0906556,50,FEAR,1.516,,,0.6,0.4,0,0,0,,,0.02,0.25,,,,0.5,,,,0.06,0.13,0.03,0.33,,,0.13,,,,,,,,,,,,,,,,0.06,,0.05,,,,0.02,,,,
3-Jul,S,3.5,quadrat,S1,49.098775,-123.09105,51,CALY,1.902,,,0.8,0.2,0,0,0,,0.02,,,0.02,,,0.6,,,,,,,0.33,,,0.06,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
3-Jul,S,10.3,quadrat,S2,49.0988,-123.0911361,52,RCG,1.571,,,0.5,0.1,0.2,0,0.2,,,,,,0.2,0.01,0.06,0.13,,,,,0.01,0.1,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.01,,,,
3-Jul,S,24.7,quadrat,S3,49.09885,-123.0913167,53,CALY,1.632,,,0.7,0.2,0.1,0,0.2,LWD suspended (not touching ground),,,,0.02,,0.03,0.33,,,,0.02,,0.03,0.1,,,,0.03,,,,0.02,,,,0.01,,0.06,,,,,,,,,,,,,,,
3-Jul,S,43.5,quadrat,S4,49.09891667,-123.0915556,54,Rushes,1.703,,,0.59,0.4,0.01,0,0,,0.03,,0.6,0.02,0.01,0.01,,,,,0.01,,,0.2,,,0.02,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,
3-Jul,S,62.8,quadrat,S5,49.09898611,-123.0917972,55,CALY,1.572,,,0.1,0.4,0.5,0,0,,,,0.01,0.05,,0.06,0.5,,,,0.03,0.06,0.03,0.2,,,,,,,,0.01,,0.06,,,0.05,,,,,,,,,,,,0.03,,,,
3-Jul,S,74.4,quadrat,S6,49.09902778,-123.0919444,56,CALY,1.509,,,0.75,0.2,0.05,0,0,,,,0.02,0.03,,0.06,0.33,,,,0.03,,0.13,,,,,0.03,,,,,,,,,,,,,,,0.01,,,,,,,,,,
3-Jul,S,87.1,quadrat,S7,49.09907222,-123.0921028,57,FEAR,1.615,,,0.8,0.2,0,0,0,,,,0.01,,,,0.33,,,,0.06,,0.01,,0.19,,,,,,,0.01,,,,,,,,,,,0.25,,,,,,,,,,
3-Jul,T,2.5,quadrat,T1,49.10126667,-123.0886528,58,CALY,2.977,,,0.75,0.25,0,0,0,,0.05,,,,,,0.25,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
3-Jul,T,7.68,quadrat,T2,49.10126111,-123.0885833,59,FEAR,1.628,,,0,0.333,0.542,0,0.125,,,,,,,,,,,,0.01,,,0.13,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
3-Jul,T,13.4,quadrat,T3,49.10126111,-123.0885056,60,Undefined,1.799,,,0.15,0.65,0,0.2,0,,,,,,,0.09,0.06,,,,,0.03,,0.9,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,
3-Jul,T,21.7,quadrat,T4,49.10125556,-123.0883917,61,CALY,1.803,,,0.3,0.65,0.05,0,0,,,,0.01,,,0.09,0.25,,,,0.09,0.25,0.01,0.6,,,,,0.05,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,
3-Jul,T,33.7,quadrat,T5,49.10124722,-123.0882278,62,Woody,1.828,,,0.5,0.4,0.1,0,0,,,,,0.05,,0.02,0.03,0.13,,0.75,0.06,0.05,,0.25,,,,0.06,0.06,,,,,,,,,,0.02,,,,,,,,,,,,,,
3-Jul,T,44.8,quadrat,T6,49.10123889,-123.088075,63,METR,1.836,,,0.5,0.5,0,0,0,,,,,,,,0.06,,,0.75,0.5,,,0.25,,,,0.16,0.19,,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,T,55,quadrat,T7,49.10123333,-123.0879361,64,CALY,1.76,,,0.05,0.25,0.5,0.2,0,,,,,0.06,,0.02,0.33,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
3-Jul,T,63.1,quadrat,T8,49.10122778,-123.0878278,65,FEAR,1.747,,,0.05,0.2,0.3,0.4,0,,,,0.02,,0.25,,,,,,0.01,,,0.06,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,
4-Jul,R,3,quadrat,R1a,49.10656667,-123.0847028,66,RCG,1.616,,,0.02,0.125,0.85,0,0,,,,,0.02,0.25,0.01,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,R,8.3,quadrat,R1b,49.10651667,-123.0846528,67,FEAR,1.544,,,0.02,0.3,0.4,0.28,0,,,,0.01,0.02,0.25,,,,,,0.02,0.01,0.01,0.33,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
4-Jul,R,13.5,quadrat,R2,49.10648889,-123.0846083,68,Woody,1.49,,,0.2,0.5,0.3,0,0,"""stems"" includes trunk",,,0.02,,,0.19,,,0.25,,,,,0.13,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.09,
4-Jul,R,30,quadrat,R3,49.1064,-123.0844444,69,Undefined,1.549,,,0.02,0.3,0.33,0.35,0,,,,0.03,0.03,,0.33,,,,,,0.02,0.13,0.13,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,
4-Jul,R,49.1,quadrat,R4,49.10628333,-123.0842583,70,Woody,1.651,,,0.02,0.3,0,0.68,0,,,,0.01,,,0.09,0.25,0.02,,,,,0.09,0.33,,,,,,,,,,,,,,0.09,0.02,,,,,,,,,,,,,,
4-Jul,R,62.8,quadrat,R5,49.10620556,-123.0841028,71,Woody,1.722,,,0.8,0.2,0,0,0,,,,0.03,,,,,0.25,,0.8,0.06,0.02,0.06,0.06,,,0.06,0.01,,,,,0.13,,,,,,0.01,,,,,,,,,,,,,,
4-Jul,R,72.9,quadrat,R6,49.10615,-123.0839944,72,METR,1.723,,,0.6,0.3,0,0,0,,,,0.01,,,,0.05,,,0.63,0.06,0.02,,0.06,0.02,,0.03,0.19,0.03,,,,0.25,,,,,,,,,,,,,0.09,,,,,,,
4-Jul,R,83.1,quadrat,R7,49.10609444,-123.0838833,73,METR,1.73,,,0.3,0.4,0,0.3,0,,,,0.01,,,0.02,,,,0.33,0.33,0.01,,0.01,,,,0.6,0.01,,,0.06,,,,,,,0.01,,,0.02,,,,,,,,,,,
4-Jul,R,91.3,quadrat,R8,49.10604722,-123.0837944,74,Undefined,1.802,,,0.01,0.29,0,0.7,0,,,,0.01,,,0.03,0.06,0.01,,,0.25,,,0.13,,,,0.03,,0.01,,0.09,,,,,0.09,0.13,,,,,,,,,,,,,,,
19-Jun,V,79.1,top_of_bank,east,,,,Channel,2.565,0.14,1.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,79.7,toe_of_bank,east,,,,Channel,3.486,1.061,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,80.5,toe_of_bank,west,,,,Channel,3.543,1.118,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,80.9,top_of_bank,west,,,,Channel,2.62,0.195,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,0,start-transect,,,,,EQAR-CALY,2.38,,1.192,,,,,,used 100m as BS; 0m shot last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,10,change,,,,,Willow-Forb,2.205,-0.22,1.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,31,change,,,,,CALY,2.34,-0.085,1.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,41.5,change,,,,,METR-ELPA,2.372,-0.053,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,51.5,change,,,,,CALY-METR,2.425,0,1.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,54.9,change,,,,,METR-ELPA,2.43,0.005,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,67.5,change,,,,,METR-MEAQ,2.495,0.07,1.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,73.6,change,,,,,CALY-METR,2.545,0.12,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,80.9,change,,,,,ELPA,2.62,0.195,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,87.4,change,,,,,ELPA-MEAQ,2.47,0.045,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,V,100,elev-control,,,,,,2.425,,1.147,,,,,,BS for V0-100m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,100,elev-control,,,,,,1.635,,1.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,106,change,,,,,CALY-METR,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,129,change,,,,,EQAR ,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,135,change,,,,,Undefined,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,145,change,,,,,Woody-CALY,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,V,176,end-transect,,,,,Woody-CALY,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,2.75,top_of_bank,west,,,,FEAR-RCG,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,0,start-transect,,,,,CALY,2.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,4,change,,,,,CALY,1.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,24.6,change,,,,,Undefined,1.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,28,change,,,,,METR-MEAQ,1.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,45.5,change,,,,,Woody ,1.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,54.7,change,,,,,METR,1.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,64,change,,,,,CALY-METR,1.545,,,,,,,,"noted METR as dense, CALY short/sparse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,74,change,,,,,CALY-METR,1.49,,,,,,,,noted CALY more dense/taller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,89,change,,,,,METR-ELPA,1.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,115,change,,,,,CALY-METR,1.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,131,change,,,,,CALY,1.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,136,change,,,,,Debris,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,143,change,,,,,Woody,1.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W,161,end-transect,,,,,Woody,N/A,,,,,,,,elev not recorded Jun 27; used elev from permanent stakes & data from May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,0,start-transect,,,,,FEAR ,1.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,9,change,,,,,Typha,1.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,21,change,,,,,Rushes,1.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,30,change,,,,,Undefined,1.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,46,change,,,,,Rushes,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,53,change,,,,,METR,1.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,X,100,elev-control,,,,,,1.588,,,,,,,,FS from first 100m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
